Code,Title,Heures Totales,Dont TP,Heures projet,Num Semestre,Type,Id semestre
R1.01,"SHS : Sociologie, Psychologie, Anthropologie, Ethnologie, Philosophie…",15,0,,1,ressource,20220208151440
R1.02,Histoire des médias,10,0,,1,ressource,20220208151440
R1.03,Théories de l’information et de la communication,22,0,,1,ressource,20220208151440
R1.04,Études des organisations,14,0,,1,ressource,20220208151440
R1.05,Recherche d’information et veille,14,5,,1,ressource,20220208151440
R1.06,Anglais,18,9,,1,ressource,20220208151440
R1.07,Langue vivante 2,18,9,,1,ressource,20220208151440
R1.08,Expression écrite et orale,18,9,,1,ressource,20220208151440
R1.09,Publication assistée par ordinateur (PAO),13,8,,1,ressource,20220208151440
R1.10,Informatique,13,8,,1,ressource,20220208151440
R1.11,Web,13,10,,1,ressource,20220208151440
R1.12,Projet personnel et professionnel,10,5,,1,ressource,20220208151440
R1.INFONUM.13,Culture et économie de l'information,20,0,,1,ressource,20220208151440
R1.INFONUM.14,Recherche d’information spécialisée,10,0,,1,ressource,20220208151440
R1.INFONUM.15,Métadonnées,18,0,,1,ressource,20220208151440
R1.INFONUM.17,Gestion de projet,15,5,,1,ressource,20220208151440
R1.INFONUM.18,Veille informationnelle et e-réputation,10,0,,1,ressource,20220208151440
R1.INFONUM.19,PAO et médias professionnels,10,10,,1,ressource,20220208151440
R1.INFONUM.20,Web et informatique professionnels,12,12,,1,ressource,20220208151440
R2.01,Économie générale,18,0,,2,ressource,20220208151448
R2.02,Droit - Droit du travail,18,0,,2,ressource,20220208151448
R2.03,"SHS : Sociologie, Psychologie, Anthropologie, Ethnologie, Philosophie…",20,0,,2,ressource,20220208151448
R2.04,Culture générale et humanités,14,0,,2,ressource,20220208151448
R2.05,Anglais,20,6,,2,ressource,20220208151448
R2.06,Langue vivante 2,20,6,,2,ressource,20220208151448
R2.07,Expression écrite et orale,20,6,,2,ressource,20220208151448
R2.08,Image et son,15,6,,2,ressource,20220208151448
R2.09,Culture numérique,15,0,,2,ressource,20220208151448
R2.10,Projet personnel et professionnel,10,5,,2,ressource,20220208151448
R2.11INO,Recherche d’information spécialisée,12,0,,2,ressource,20220208151448
R2.12INO,Analyse des besoins,12,0,,2,ressource,20220208151448
R2.13INO,Bases de données documentaires,15,12,,2,ressource,20220208151448
R2.14INO,Veille informationnelle et e-réputation,24,12,,2,ressource,20220208151448
R2.15INO,PAO et médias professionnels,15,12,,2,ressource,20220208151448
R2.16INO,Web et informatique professionnels,15,12,,2,ressource,20220208151448
R3.01,Théories de l'information et de la communication,20,0,,3,ressource,20220208151453
R3.02,Linguistique Sémiologie,30,0,,3,ressource,20220208151453
R3.03,Culture numérique,20,0,,3,ressource,20220208151453
R3.04,Anglais,20,10,,3,ressource,20220208151453
R3.05,Langue vivante 2,20,10,,3,ressource,20220208151453
R3.06,Expression écrite et orale,20,10,,3,ressource,20220208151453
R3.07,Projet Personnel et Professionnel,10,0,,3,ressource,20220208151453
R3.INFONUM.07,Veille stratégique et intelligence économique,10,8,,3,ressource,20220208151453
R3.INFONUM.08,Techniques de communication numérique,12,10,,3,ressource,20220208151453
R3.INFONUM.09,Data et documents,12,10,,3,ressource,20220208151453
R3.INFONUM.10,Pratiques collaboratives et partage des connaissances,10,6,,3,ressource,20220208151453
R3.INFONUM.11,Analyse d'un système d'information,10,8,,3,ressource,20220208151453
R3.INFONUM.12,Projets de dématérialisation,10,8,,3,ressource,20220208151453
R4.01,Sciences humaines et sociales,18,0,,4,ressource,20220208151459
R4.02,Droit de l'information communication,18,0,,4,ressource,20220208151459
R4.03,Veille (niveau 2),18,0,,4,ressource,20220208151459
R4.04,Anglais,20,10,,4,ressource,20220208151459
R4.05,Langue vivante 2,20,10,,4,ressource,20220208151459
R4.06,Expression écrite et orale,20,10,,4,ressource,20220208151459
